district_id,district_name,date,year,month,incidence_count,incidence_rate_1k,pfpr,itn_use,itn_access,t2m_c,rh_pct,tp_mm,ndvi,ndwi,population
CIV.1.1_1,Abidjan,2010-01-01,2010,1,1143612.625,268.86232595318,0.38710933923721313,0.07186512614405433,0.1252151607542999,26.584660121372767,28.889025006975448,0.0,0.565852057506887,0.0951027335997225,4253525.0
CIV.1.1_1,Abidjan,2010-02-01,2010,2,1143612.625,268.86232595318,0.38710933923721313,0.07186512614405433,0.1252151607542999,30.050340924944198,39.32627214704241,0.3460475376674107,0.5868675321691177,0.10243121757234391,4253525.0
CIV.1.1_1,Abidjan,2010-03-01,2010,3,1143612.625,268.86232595318,0.38710933923721313,0.07186512614405433,0.1252151607542999,31.421940394810267,46.63042776925223,0.545501708984375,0.5823718979779412,0.13331311629774945,4253525.0
CIV.1.1_1,Abidjan,2010-04-01,2010,4,1143612.625,268.86232595318,0.38710933923721313,0.07186512614405433,0.1252151607542999,30.459049769810267,60.31192888532366,2.7378627232142856,0.6692602510418704,0.1891907390327906,4253525.0
CIV.1.1_1,Abidjan,2010-05-01,2010,5,1143612.625,268.86232595318,0.38710933923721313,0.07186512614405433,0.1252151607542999,28.725093296595983,73.12312534877232,2.913611275809152,0.6739861039708186,0.20054037080469592,4253525.0
CIV.1.1_1,Abidjan,2010-06-01,2010,6,1143612.625,268.86232595318,0.38710933923721313,0.07186512614405433,0.1252151607542999,27.38240705217634,77.4296875,3.5337720598493303,0.5981404670210292,0.1790153176646881,4253525.0
CIV.1.1_1,Abidjan,2010-07-01,2010,7,1143612.625,268.86232595318,0.38710933923721313,0.07186512614405433,0.1252151607542999,26.088025774274552,80.16469029017857,5.008425031389509,0.6302669525146485,0.15066711671046507,4253525.0
CIV.1.1_1,Abidjan,2010-08-01,2010,8,1143612.625,268.86232595318,0.38710933923721313,0.07186512614405433,0.1252151607542999,25.621106828962052,83.42081996372768,4.441942487444196,0.5251677430081023,0.11728144257510047,4253525.0
CIV.1.1_1,Abidjan,2010-09-01,2010,9,1143612.625,268.86232595318,0.38710933923721313,0.07186512614405433,0.1252151607542999,25.49051775251116,85.08782087053571,8.433478219168526,0.5129162243967795,0.13789781785228608,4253525.0
CIV.1.1_1,Abidjan,2010-10-01,2010,10,1143612.625,268.86232595318,0.38710933923721313,0.07186512614405433,0.1252151607542999,26.48325456891741,82.06753976004464,4.92095947265625,0.5680666470198471,0.16701671402559295,4253525.0
